parcela,fecha,cloud_cover_pct,apta
211,2024-11-29,0.68,SI
211,2024-12-09,17.98,SI
211,2024-12-14,1.44,SI
211,2025-01-01,2.07,SI
211,2025-01-08,6.64,SI
211,2025-01-11,18.08,SI
211,2025-01-13,12.26,SI
211,2025-01-16,11.37,SI
211,2025-01-18,2.41,SI
211,2025-01-23,0.2,SI
211,2025-01-28,5.19,SI
211,2025-02-05,2.74,SI
211,2025-02-07,8.48,SI
211,2025-02-10,0.8,SI
211,2025-02-12,3.62,SI
211,2025-02-17,0.04,SI
211,2025-02-22,0.23,SI
211,2025-02-25,1.82,SI
211,2025-02-27,0.81,SI
211,2025-03-02,0.84,SI
211,2025-03-09,17.72,SI
211,2025-03-12,15.86,SI
211,2025-03-24,12.25,SI
211,2025-03-26,3.88,SI
211,2025-03-29,5.4,SI
211,2025-04-13,13.28,SI
211,2025-04-15,10.04,SI
211,2025-04-16,19.41,SI
217,2024-07-10,12.5,SI
217,2024-07-30,9.84,SI
217,2024-08-21,9.53,SI
217,2024-09-03,11.37,SI
217,2024-10-20,7.84,SI
217,2024-11-02,19.92,SI
217,2024-11-29,0.68,SI
217,2024-12-09,17.98,SI
217,2024-12-14,1.44,SI
85,2025-11-27,18.91,SI
85,2025-12-02,15.08,SI
85,2025-12-07,2.88,SI
85,2025-12-12,5.39,SI
85,2025-12-14,18.68,SI
85,2025-12-17,8.91,SI
85,2025-12-22,9.06,SI
85,2025-12-24,6.96,SI
85,2025-12-27,6.9,SI
85,2025-12-31,9.28,SI
85,2026-01-01,19.0,SI
85,2026-01-16,4.54,SI
85,2026-01-21,16.74,SI
85,2026-02-12,0.43,SI
85,2026-02-17,9.35,SI
85,2026-02-25,0.6,SI
85,2026-02-27,0.2,SI
85,2026-03-09,0.52,SI
85,2026-03-21,7.43,SI
85,2026-03-22,0.88,SI
85,2026-04-13,19.01,SI
85,2026-04-28,0.52,SI
85,2026-05-01,15.23,SI
85,2026-05-03,8.26,SI
85,2026-05-08,8.56,SI
85,2026-05-10,5.8,SI
85,2026-05-18,7.11,SI
